step,n_vehicles,avg_speed_m_s
0,0,0.0
60,0,0.0
120,0,0.0
180,1,3.847
240,0,0.0
300,0,0.0
360,0,0.0
420,0,0.0
480,0,0.0
540,0,0.0
600,2,11.799
660,1,12.345
720,0,0.0
780,1,2.223
840,0,0.0
900,1,13.665
960,0,0.0
1020,0,0.0
1080,1,10.243
1140,1,11.192
1200,0,0.0
1260,1,1.956
1320,0,0.0
1380,0,0.0
1440,0,0.0
1500,0,0.0
1560,0,0.0
1620,0,0.0
1680,0,0.0
1740,0,0.0
1800,0,0.0
1860,0,0.0
1920,0,0.0
1980,0,0.0
2040,0,0.0
2100,1,9.527
2160,0,0.0
2220,1,14.591
2280,2,18.231
2340,2,18.239
2400,1,22.03
2460,1,22.056
2520,0,0.0
2580,1,15.214
2640,0,0.0
2700,0,0.0
2760,0,0.0
2820,0,0.0
2880,0,0.0
2940,0,0.0
3000,0,0.0
3060,0,0.0
3120,0,0.0
3180,0,0.0
3240,1,8.494
3300,0,0.0
3360,0,0.0
3420,0,0.0
3480,0,0.0
3540,0,0.0
